epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2743.75,1.80105,1.94592,1.64746,0.49304,0.46239,0.45931,0.20112,1.83293,1.81284,1.71146,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2829.49,1.78662,1.92731,1.63565,0.4884,0.4635,0.45908,0.20333,1.81992,1.8183,1.70716,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2914.32,1.77929,1.91443,1.62679,0.48221,0.46569,0.44947,0.19885,1.82641,1.81279,1.70323,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2998.71,1.78917,1.91986,1.63542,0.50941,0.47294,0.46732,0.20886,1.85401,1.8008,1.72676,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3083.5,1.77684,1.91198,1.62424,0.48805,0.46818,0.45997,0.20498,1.83795,1.79988,1.71514,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3167.26,1.76908,1.88618,1.61978,0.49495,0.476,0.46743,0.20799,1.8253,1.79436,1.69869,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3252.18,1.76853,1.88677,1.6188,0.51701,0.46758,0.47683,0.2112,1.82475,1.78399,1.70157,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3336.87,1.75868,1.85781,1.60803,0.51294,0.47975,0.47583,0.21042,1.82605,1.77009,1.69169,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3421.07,1.75987,1.85609,1.60008,0.50327,0.48705,0.48885,0.21977,1.8208,1.7543,1.69345,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3506.01,1.76347,1.85478,1.6077,0.5112,0.48744,0.48424,0.21752,1.81977,1.74778,1.70006,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3589.83,1.75366,1.84211,1.60296,0.51813,0.48797,0.49423,0.22223,1.83293,1.72315,1.69212,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3673.26,1.74969,1.83168,1.60147,0.50948,0.47984,0.4911,0.22485,1.81498,1.72227,1.68272,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
